Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
Burundi,nuclear,2000,,,5.14591,6378.87,0.883861759,1.095635031,0
Burundi,renewables_n_other,2000,0.001102058,0.000999698,5.14591,6378.87,0.883861759,1.095635031,0
Cabo Verde,all_energy_types,2000,0.004661981,8.16E-05,1.75899,428.178,10.88794978,2.650373544,0.1
Cabo Verde,coal,2000,0,0,1.75899,428.178,10.88794978,2.650373544,0
Cabo Verde,natural_gas,2000,0,0,1.75899,428.178,10.88794978,2.650373544,0
Cabo Verde,petroleum_n_other_liquids,2000,0.004580373,0,1.75899,428.178,10.88794978,2.650373544,0.1
Cabo Verde,nuclear,2000,,,1.75899,428.178,10.88794978,2.650373544,0
Cabo Verde,renewables_n_other,2000,8.16E-05,8.16E-05,1.75899,428.178,10.88794978,2.650373544,0
Cambodia,all_energy_types,2000,0.030577381,0.000479447,17.3354,12155.2,2.515580233,1.763869357,2.1
Cambodia,coal,2000,5.55E-06,0,17.3354,12155.2,2.515580233,1.763869357,0
Cambodia,natural_gas,2000,0,0,17.3354,12155.2,2.515580233,1.763869357,0
Cambodia,petroleum_n_other_liquids,2000,0.030092389,0,17.3354,12155.2,2.515580233,1.763869357,2.1
Cambodia,nuclear,2000,,,17.3354,12155.2,2.515580233,1.763869357,0
Cambodia,renewables_n_other,2000,0.000479447,0.000479447,17.3354,12155.2,2.515580233,1.763869357,0
Cameroon,all_energy_types,2000,0.08113377,0.219420523,40.227,15513.9,5.229746865,2.016898349,3.2
Cameroon,coal,2000,0,0,40.227,15513.9,5.229746865,2.016898349,0
Cameroon,natural_gas,2000,0,0,40.227,15513.9,5.229746865,2.016898349,0
Cameroon,petroleum_n_other_liquids,2000,0.046368762,0.184655515,40.227,15513.9,5.229746865,2.016898349,3.2
Cameroon,nuclear,2000,,,40.227,15513.9,5.229746865,2.016898349,0
Cameroon,renewables_n_other,2000,0.034765008,0.034765008,40.227,15513.9,5.229746865,2.016898349,0
Canada,all_energy_types,2000,12.52687718,17.77781802,1192.325,30685.75,408.2310902,10.5062606,508.9136143
Canada,coal,2000,1.176038247,1.463978365,1192.325,30685.75,408.2310902,10.5062606,103.9516896
Canada,natural_gas,2000,3.051184217,6.59910216,1192.325,30685.75,408.2310902,10.5062606,168.6680413
Canada,petroleum_n_other_liquids,2000,3.925619182,5.222668073,1192.325,30685.75,408.2310902,10.5062606,236.2938835
Canada,nuclear,2000,0.779568547,0.779568547,1192.325,30685.75,408.2310902,10.5062606,0
Canada,renewables_n_other,2000,3.594466983,3.712500877,1192.325,30685.75,408.2310902,10.5062606,0
Cayman Islands,all_energy_types,2000,0.007106775,0,2.77128,42.305,167.9890138,2.564437816,0.3
Cayman Islands,coal,2000,0,0,2.77128,42.305,167.9890138,2.564437816,0
Cayman Islands,natural_gas,2000,0,0,2.77128,42.305,167.9890138,2.564437816,0
Cayman Islands,petroleum_n_other_liquids,2000,0.007106775,0,2.77128,42.305,167.9890138,2.564437816,0.3
Cayman Islands,nuclear,2000,,,2.77128,42.305,167.9890138,2.564437816,0
Cayman Islands,renewables_n_other,2000,0,0,2.77128,42.305,167.9890138,2.564437816,0
Central African Republic,all_energy_types,2000,0.004934745,0.000846683,4.1335,3640.42,1.355542795,1.193841805,0.3
Central African Republic,coal,2000,0,0,4.1335,3640.42,1.355542795,1.193841805,0
Central African Republic,natural_gas,2000,0,0,4.1335,3640.42,1.355542795,1.193841805,0
Central African Republic,petroleum_n_other_liquids,2000,0.004088062,0,4.1335,3640.42,1.355542795,1.193841805,0.3
Central African Republic,nuclear,2000,,,4.1335,3640.42,1.355542795,1.193841805,0
Central African Republic,renewables_n_other,2000,0.000846683,0.000846683,4.1335,3640.42,1.355542795,1.193841805,0
Chad,all_energy_types,2000,0.003521715,0,8.03948,8355.65,0.421477039,0.438052538,0.2
Chad,coal,2000,0,0,8.03948,8355.65,0.421477039,0.438052538,0
Chad,natural_gas,2000,0,0,8.03948,8355.65,0.421477039,0.438052538,0
Chad,petroleum_n_other_liquids,2000,0.003521715,0,8.03948,8355.65,0.421477039,0.438052538,0.2
Chad,nuclear,2000,,,8.03948,8355.65,0.421477039,0.438052538,0
Chad,renewables_n_other,2000,0,0,8.03948,8355.65,0.421477039,0.438052538,0
Chile,all_energy_types,2000,0.982954796,0.278243579,222.5523,15289.98,64.28751354,4.416736184,55.77806557
Chile,coal,2000,0.093907015,0.006395761,222.5523,15289.98,64.28751354,4.416736184,11.55586881
Chile,natural_gas,2000,0.193190708,0.042272055,222.5523,15289.98,64.28751354,4.416736184,9.030278756
Chile,petroleum_n_other_liquids,2000,0.483083899,0.020516469,222.5523,15289.98,64.28751354,4.416736184,35.191918
Chile,nuclear,2000,,,222.5523,15289.98,64.28751354,4.416736184,0
Chile,renewables_n_other,2000,0.212773174,0.209059294,222.5523,15289.98,64.28751354,4.416736184,0
China,all_energy_types,2000,42.46683683,41.26159736,4487.852,1291648,32.87802623,9.462619719,3248.27287
China,coal,2000,29.86845966,30.8275079,4487.852,1291648,32.87802623,9.462619719,2628.038406
China,natural_gas,2000,0.94297548,1.005638769,4487.852,1291648,32.87802623,9.462619719,48.23446342
China,petroleum_n_other_liquids,2000,9.652490692,6.990412324,4487.852,1291648,32.87802623,9.462619719,572
China,nuclear,2000,0.160705922,0.160705922,4487.852,1291648,32.87802623,9.462619719,0
China,renewables_n_other,2000,1.842205076,2.277332446,4487.852,1291648,32.87802623,9.462619719,0
Colombia,all_energy_types,2000,1.180975942,3.008760631,338.493,39630,29.80004901,3.488922791,49.08733348
Colombia,coal,2000,0.109170172,0.965948697,338.493,39630,29.80004901,3.488922791,9.950440299
Colombia,natural_gas,2000,0.18700352,0.18700352,338.493,39630,29.80004901,3.488922791,9.016638247
Colombia,petroleum_n_other_liquids,2000,0.562445233,1.526775159,338.493,39630,29.80004901,3.488922791,30.12025493
Colombia,nuclear,2000,,,338.493,39630,29.80004901,3.488922791,0
Colombia,renewables_n_other,2000,0.322357018,0.329033255,338.493,39630,29.80004901,3.488922791,0
Comoros,all_energy_types,2000,0.001495796,2.04E-05,1.40736,542.358,2.757950265,1.062838499,0.08661
Comoros,coal,2000,0,0,1.40736,542.358,2.757950265,1.062838499,0
Comoros,natural_gas,2000,0,0,1.40736,542.358,2.757950265,1.062838499,0
Comoros,petroleum_n_other_liquids,2000,0.001475394,0,1.40736,542.358,2.757950265,1.062838499,0.08661
Comoros,nuclear,2000,,,1.40736,542.358,2.757950265,1.062838499,0
Comoros,renewables_n_other,2000,2.04E-05,2.04E-05,1.40736,542.358,2.757950265,1.062838499,0
Congo-Brazzaville,all_energy_types,2000,0.013126512,0.614625854,11.72,3127.42,4.197233397,1.120009528,0.6
Congo-Brazzaville,coal,2000,0,0,11.72,3127.42,4.197233397,1.120009528,0
Congo-Brazzaville,natural_gas,2000,0,0,11.72,3127.42,4.197233397,1.120009528,0
Congo-Brazzaville,petroleum_n_other_liquids,2000,0.0092607,0.611647162,11.72,3127.42,4.197233397,1.120009528,0.6
Congo-Brazzaville,nuclear,2000,,,11.72,3127.42,4.197233397,1.120009528,0
Congo-Brazzaville,renewables_n_other,2000,0.003865812,0.002978692,11.72,3127.42,4.197233397,1.120009528,0
Congo-Kinshasa,all_energy_types,2000,0.07278066,0.116527072,30.0923,47105.8,1.545046683,2.418580834,2.5
Congo-Kinshasa,coal,2000,0,0,30.0923,47105.8,1.545046683,2.418580834,0
Congo-Kinshasa,natural_gas,2000,0,0,30.0923,47105.8,1.545046683,2.418580834,0
Congo-Kinshasa,petroleum_n_other_liquids,2000,0.016380033,0.055943333,30.0923,47105.8,1.545046683,2.418580834,2.5
Congo-Kinshasa,nuclear,2000,,,30.0923,47105.8,1.545046683,2.418580834,0
Congo-Kinshasa,renewables_n_other,2000,0.056400627,0.060583739,30.0923,47105.8,1.545046683,2.418580834,0
Cook Islands,all_energy_types,2000,0.000934409,1.02E-06,,,0,0,0.04774
Cook Islands,coal,2000,0,0,,,0,0,0
Cook Islands,natural_gas,2000,0,0,,,0,0,0
Cook Islands,petroleum_n_other_liquids,2000,0.000933389,0,,,0,0,0.04774
Cook Islands,nuclear,2000,,,,,0,0,0
